,|000|,|001|,|002|,|003|,|004|,|005|,|006|,|007|,|008|,|009|,|010|,|011|,|012|,|013|,|014|,|015|,|016|,|017|,|018|,|019|
|000|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|001|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|002|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|003|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
|004|,-,S,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,0,0,0
|005|,-,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,0,0,0
|006|,-,-,0,-,0,-,0,-,0,50,0,-,0,-,0,-,0,0,0,0
|007|,-,-,0,0,0,50,0,0,0,-,0,0,0,-,0,-,0,0,0,0
|008|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0,0,0,0
|009|,-,E,-,0,0,0,-,70,70,70,70,0,0,-,0,-,0,0,0,0
|010|,-,0,-,0,-,0,-,70,70,70,70,-,0,-,0,-,0,0,0,0
|011|,-,0,-,0,-,0,-,20,20,20,20,-,0,-,0,-,0,0,0,0
|012|,-,0,0,0,99,0,0,0,90,90,0,-,0,0,0,-,0,0,0,0
|013|,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
|014|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|015|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|016|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|017|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|018|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|019|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
